id,dni,nombre,apellido,telefono,email,direccion_calle,direccion_numero
e2bfcdaf-f09b-4bed-9674-5effdd27af5c,773149521,Jasmine,Ennis,T58 I21-9541,jasmine.ennis@example.com,Wellington St,23151651451654151564165416541162415341624153143646123
3afd99dc-9e16-4139-aa1b-94b30f7ec311,757163289,Gwendolyn,Adams,(435) 505-4270,gwendolyn.adams@example.com,Dogwood Ave,1597
48a4ce73-40d8-4041-babb-9c532e963968,2107865199,Silke,Johansen,25658024,silke.johansen@example.com,Alleen,4816
973005d9-58e7-432c-b725-9e3a3c67dd5f,6128328848,Angelika,Torset,33059474,angelika.torset@example.com,Bredes vei,4960
e1438458-8057-464d-85cb-527f932cba2c,4117725354,Jamie,Eidem,89185627,jamie.eidem@example.com,Knud Graahs gate,9757
b60b8222-f592-4efe-8fb2-703e3b6e8dd7,196533004,Etienne,Scott,Z94 D31-6022,etienne.scott@example.com,Pine Rd,9431
45860863-c015-4201-8b3f-1c8c2a64df4a,879349634,Milenko,Blažić,037-1741-768,milenko.blazic@example.com,Bariljevska,9459
d0705465-6de0-4d9d-85c5-5840946cb813,461,Niilo,Laurila,06-110-735,niilo.laurila@example.com,Verkatehtaankatu,4987
8d047a80-83b0-4681-bfbb-1e9c7163b353,20670556,Zlatomir,Timchuk,(098) J43-3015,zlatomir.timchuk@example.com,Vakulenchuka,8319
ee96baea-e01c-4e58-bc53-509f7b721074,77641558,Hazel,Smith,(267)-774-8438,hazel.smith@example.com,Tennent Drive,475
e60b7620-f792-46cf-a7ab-9ee803f069b4,6948787,Concepción,Martin,997-829-990,concepcion.martin@example.com,Calle de La Luna,8436
9d4ef2d8-94c0-4686-957b-73175d9fcdea,45781263,Kenan,Köybaşı,(816)-191-3107,kenan.koybasi@example.com,Şehitler Cd,9472
511b9000-28d8-4b32-b805-6dff7151a134,64375426,Koray,Solmaz,(527)-921-1257,koray.solmaz@example.com,Filistin Cd,1889
9457e3a1-df98-49bc-9ede-51be89028b5d,75347337,Leo,Patel,(773)-790-9750,leo.patel@example.com,Kennedy Road,617
5642fbf0-0907-48f0-bb36-728a7f51674e,21067030955,Lukas,Havnen,53811056,lukas.havnen@example.com,Alf Bjerckes vei,751
7aadf6a7-eab5-4c52-ba85-511627023ed0,388942971,Gabrielle,Clark,K46 J77-5283,gabrielle.clark@example.com,George St,1712
bf0755ff-656e-4539-9f01-f76ceace9cbb,683798380563,Nachiket,Nayak,9696968580,nachiket.nayak@example.com,Lindsay St,2025
